timestamp,date,time,vehicle_type,direction,vehicle_id,total_in,total_out
2026-01-21T01:30:42.094339,2026-01-21,01:30:42,motorcycle,EXIT,546,31,41
2026-01-21T01:30:42.226346,2026-01-21,01:30:42,car,ENTRY,548,32,41
2026-01-21T01:30:42.634999,2026-01-21,01:30:42,bus,EXIT,551,32,42
2026-01-21T01:30:42.765325,2026-01-21,01:30:42,car,ENTRY,551,33,42
2026-01-21T01:30:43.577023,2026-01-21,01:30:43,car,EXIT,558,33,43
2026-01-21T01:30:43.844678,2026-01-21,01:30:43,car,ENTRY,558,34,43
2026-01-21T01:30:46.396921,2026-01-21,01:30:46,car,ENTRY,558,35,43
2026-01-21T01:30:46.732836,2026-01-21,01:30:46,bus,ENTRY,558,36,43
2026-01-21T01:30:47.463272,2026-01-21,01:30:47,bus,ENTRY,559,37,43
2026-01-21T01:30:47.869711,2026-01-21,01:30:47,car,ENTRY,559,38,43
2026-01-21T01:30:49.077801,2026-01-21,01:30:49,car,ENTRY,564,39,43
2026-01-21T01:30:50.623963,2026-01-21,01:30:50,bus,ENTRY,576,40,43
2026-01-21T01:30:50.959735,2026-01-21,01:30:50,motorcycle,EXIT,576,40,44
2026-01-21T01:30:51.235195,2026-01-21,01:30:51,car,ENTRY,576,41,44
2026-01-21T01:30:53.376900,2026-01-21,01:30:53,motorcycle,EXIT,578,41,45
2026-01-21T01:30:53.709323,2026-01-21,01:30:53,car,ENTRY,579,42,45
2026-01-21T01:30:56.800379,2026-01-21,01:30:56,bus,ENTRY,590,43,45
2026-01-21T01:30:57.735121,2026-01-21,01:30:57,truck,ENTRY,590,44,45
2026-01-21T01:30:57.871156,2026-01-21,01:30:57,truck,EXIT,591,44,46
2026-01-21T01:30:58.673813,2026-01-21,01:30:58,car,EXIT,591,44,47
2026-01-21T01:30:58.943443,2026-01-21,01:30:58,truck,EXIT,591,44,48
2026-01-21T01:31:00.687119,2026-01-21,01:31:00,bus,ENTRY,604,45,48
2026-01-21T01:31:02.038083,2026-01-21,01:31:02,car,EXIT,605,45,49
2026-01-21T01:31:02.511423,2026-01-21,01:31:02,car,ENTRY,605,46,49
2026-01-21T01:31:05.929108,2026-01-21,01:31:05,car,EXIT,612,46,50
2026-01-21T01:31:07.339114,2026-01-21,01:31:07,truck,ENTRY,626,47,50
2026-01-21T01:31:07.806959,2026-01-21,01:31:07,car,EXIT,626,47,51
2026-01-21T01:31:08.278020,2026-01-21,01:31:08,truck,ENTRY,626,48,51
2026-01-21T01:31:09.818431,2026-01-21,01:31:09,car,ENTRY,627,49,51
2026-01-21T01:31:10.086724,2026-01-21,01:31:10,car,EXIT,628,49,52
2026-01-21T01:31:10.220142,2026-01-21,01:31:10,truck,ENTRY,628,50,52
2026-01-21T01:31:10.286467,2026-01-21,01:31:10,bus,EXIT,628,50,53
2026-01-21T01:31:12.163824,2026-01-21,01:31:12,car,ENTRY,630,51,53
2026-01-21T01:31:13.236747,2026-01-21,01:31:13,truck,ENTRY,646,52,53
2026-01-21T01:31:13.576373,2026-01-21,01:31:13,car,ENTRY,646,53,53
2026-01-21T01:31:16.320835,2026-01-21,01:31:16,truck,EXIT,647,53,54
2026-01-21T01:31:16.923505,2026-01-21,01:31:16,motorcycle,EXIT,647,53,55
2026-01-21T01:31:17.995344,2026-01-21,01:31:17,bus,EXIT,647,53,56
2026-01-21T01:31:18.464792,2026-01-21,01:31:18,car,EXIT,649,53,57
2026-01-21T01:31:22.091559,2026-01-21,01:31:22,motorcycle,EXIT,653,53,58
2026-01-21T01:31:22.156706,2026-01-21,01:31:22,motorcycle,ENTRY,653,54,58
2026-01-21T01:31:22.290144,2026-01-21,01:31:22,bus,ENTRY,653,55,58
2026-01-21T01:31:22.826528,2026-01-21,01:31:22,truck,EXIT,653,55,59
2026-01-21T01:31:24.100269,2026-01-21,01:31:24,motorcycle,ENTRY,656,56,59
2026-01-21T01:31:25.913236,2026-01-21,01:31:25,car,EXIT,665,56,60
2026-01-21T01:31:27.523425,2026-01-21,01:31:27,motorcycle,EXIT,680,56,61
2026-01-21T01:31:28.526378,2026-01-21,01:31:28,bus,ENTRY,680,57,61
2026-01-21T01:31:28.593415,2026-01-21,01:31:28,truck,ENTRY,680,58,61
